months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,customer_category,Contract Years,total_premiums_paid,net_value_of_customer
235,42,543610,2002-05-26,OH,100/300,500.0,1253.12,4000000,462283,FEMALE,1253.12,exec-managerial,dancing,other-relative,38400.0,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,NO,87010.0,87010.0,87010.0,63280,Ford,F150,2002,N,Middle Aged,Long-Term Client,19.583333333333332,24540.266666666666,-62469.73333333334
447,61,214618,1999-05-29,OH,100/300,2000.0,1203.0,0,615561,FEMALE,1203.0,exec-managerial,skydiving,other-relative,0.0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,XX,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920.0,114920.0,114920.0,79560,Audi,A3,2006,N,Elderly,Long-Term Client,37.25,44811.75,-70108.25
60,23,842643,1997-11-20,OH,500/1000,500.0,1215.36,3000000,432220,MALE,1215.36,protective-serv,reading,wife,0.0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520.0,56520.0,56520.0,42390,Saab,95,2000,N,Young Adult,Established Client,5.0,6076.799999999999,-50443.2
121,34,626808,2012-10-26,OH,100/300,1000.0,936.61,0,464652,FEMALE,936.61,armed-forces,bungie-jumping,wife,52800.0,-32800,2015-01-08,Parked Car,?,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280.0,7280.0,7280.0,5040,Toyota,Highlander,2010,N,Middle Aged,Established Client,10.083333333333334,9444.150833333333,2164.150833333333
180,38,644081,1998-12-28,OH,250/500,2000.0,1301.13,0,476685,FEMALE,1301.13,machine-op-inspct,board-games,not-in-family,41300.0,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200.0,46200.0,46200.0,33600,Dodge,Neon,2003,Y,Middle Aged,Long-Term Client,15.0,19516.95,-26683.05
473,58,892874,1992-10-19,IN,100/300,2000.0,1131.4,0,458733,FEMALE,1131.4,transport-moving,movies,other-relative,55700.0,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120.0,63120.0,63120.0,42080,Accura,MDX,1999,Y,Elderly,Long-Term Client,39.416666666666664,44596.01666666667,-18523.98333333333
70,26,558938,2005-06-08,OH,500/1000,1000.0,1199.44,5000000,619884,MALE,1199.44,machine-op-inspct,hiking,own-child,63600.0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,YES,1,2,YES,52110.0,52110.0,52110.0,40530,Nissan,Maxima,2012,N,Young Adult,Established Client,5.833333333333333,6996.733333333334,-45113.26666666666
140,31,275265,2004-11-15,IN,500/1000,500.0,708.64,6000000,470610,MALE,708.64,machine-op-inspct,reading,unmarried,53500.0,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880.0,77880.0,77880.0,56640,Suburu,Legacy,2015,N,Middle Aged,Established Client,11.666666666666666,8267.466666666667,-69612.53333333333
160,37,921202,2014-12-28,OH,500/1000,500.0,1374.22,0,472135,FEMALE,1374.22,craft-repair,yachting,other-relative,45500.0,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930.0,72930.0,72930.0,53040,Accura,TL,2015,N,Middle Aged,Long-Term Client,13.333333333333334,18322.933333333334,-54607.066666666666
196,39,143972,1992-08-02,IN,500/1000,2000.0,1475.73,0,477670,FEMALE,1475.73,handlers-cleaners,camping,own-child,57000.0,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,YES,2,0,NO,60400.0,60400.0,60400.0,48320,Nissan,Pathfinder,2014,N,Middle Aged,Long-Term Client,16.333333333333332,24103.59,-36296.41
460,62,183430,2002-06-25,IN,250/500,1000.0,1187.96,4000000,618845,MALE,1187.96,other-service,bungie-jumping,own-child,0.0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,NO,47160.0,47160.0,47160.0,41920,Suburu,Impreza,2011,N,Elderly,Long-Term Client,38.333333333333336,45538.46666666667,-1621.5333333333328
217,41,431876,2005-11-27,IL,500/1000,2000.0,875.15,0,442479,FEMALE,875.15,machine-op-inspct,skydiving,own-child,46700.0,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,YES,1,2,NO,37840.0,37840.0,37840.0,33110,Accura,RSX,1996,N,Middle Aged,Long-Term Client,18.083333333333332,15825.629166666666,-22014.370833333334
370,55,285496,1994-05-27,IL,100/300,2000.0,1173.0,0,443920,MALE,1173.0,prof-specialty,paintball,other-relative,72700.0,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520.0,71520.0,71520.0,47680,Suburu,Forrestor,2000,Y,Middle Aged,Long-Term Client,30.833333333333332,36167.5,-35352.5
413,55,115399,1991-02-08,IN,100/300,2000.0,1268.79,0,453148,MALE,1268.79,priv-house-serv,chess,own-child,0.0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,YES,2,2,NO,98160.0,98160.0,98160.0,73620,Dodge,RAM,2011,Y,Middle Aged,Long-Term Client,34.416666666666664,43667.5225,-54492.4775
237,40,736882,1996-02-02,IN,100/300,1000.0,883.31,0,434733,MALE,883.31,craft-repair,kayaking,husband,25351.0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880.0,77880.0,77880.0,56640,Ford,Escape,2005,N,Middle Aged,Long-Term Client,19.75,17445.3725,-60434.6275
8,35,699044,2013-12-05,OH,100/300,2000.0,1266.92,0,613982,MALE,1266.92,sales,polo,own-child,26250.0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500.0,71500.0,71500.0,44000,Ford,Escape,2006,Y,Middle Aged,New Client,0.6666666666666666,844.6133333333333,-70655.38666666667
257,43,863236,1990-09-20,IN,100/300,2000.0,1322.1,0,436984,MALE,1322.1,prof-specialty,golf,own-child,0.0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020.0,9020.0,9020.0,6560,Toyota,Camry,2005,N,Middle Aged,Long-Term Client,21.416666666666668,28314.975,19294.975
202,34,608513,2002-07-18,IN,100/300,500.0,848.07,3000000,607730,MALE,848.07,exec-managerial,chess,not-in-family,31000.0,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,NO,5720.0,5720.0,5720.0,4160,Suburu,Forrestor,2003,Y,Middle Aged,Long-Term Client,16.833333333333332,14275.845,8555.845
224,40,914088,1990-02-08,OH,100/300,2000.0,1291.7,0,609837,FEMALE,1291.7,sales,kayaking,not-in-family,0.0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840.0,69840.0,69840.0,46560,Dodge,Neon,2009,N,Middle Aged,Long-Term Client,18.666666666666668,24111.733333333334,-45728.26666666666
241,45,596785,2014-03-04,IL,500/1000,2000.0,1104.5,0,432211,FEMALE,1104.5,machine-op-inspct,basketball,unmarried,0.0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650.0,91650.0,91650.0,63450,Accura,TL,2011,N,Middle Aged,Long-Term Client,20.083333333333332,22182.041666666668,-69467.95833333333
64,25,908616,2000-02-18,IL,250/500,1000.0,954.16,0,473328,MALE,954.16,prof-specialty,video-games,husband,53200.0,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,NO,75600.0,75600.0,75600.0,50400,Toyota,Corolla,2005,N,Young Adult,Established Client,5.333333333333333,5088.8533333333335,-70511.14666666667
166,37,666333,2008-06-19,IL,100/300,2000.0,1337.28,8000000,610393,MALE,1337.28,craft-repair,reading,husband,27500.0,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,NO,67140.0,67140.0,67140.0,52220,Ford,F150,2006,Y,Middle Aged,Long-Term Client,13.833333333333334,18499.04,-48640.96
155,35,336614,2003-08-01,IL,500/1000,1000.0,1088.34,0,614780,FEMALE,1088.34,adm-clerical,yachting,other-relative,81100.0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790.0,29790.0,29790.0,23170,BMW,3 Series,2008,N,Middle Aged,Long-Term Client,12.916666666666666,14057.724999999999,-15732.275000000001
114,30,584859,1992-04-04,IL,100/300,1000.0,1558.29,0,472248,MALE,1558.29,farming-fishing,video-games,wife,51400.0,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,NO,77110.0,77110.0,77110.0,49070,Suburu,Impreza,2015,N,Young Adult,Established Client,9.5,14803.755,-62306.245
149,37,990493,1991-01-13,IL,500/1000,500.0,1415.68,0,603381,MALE,1415.68,prof-specialty,yachting,own-child,0.0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800.0,64800.0,64800.0,48600,Audi,A3,1999,N,Middle Aged,Established Client,12.416666666666666,17578.02666666667,-47221.97333333333
147,33,129872,2010-08-08,OH,100/300,1000.0,1334.15,6000000,479224,MALE,1334.15,craft-repair,reading,not-in-family,53300.0,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100.0,53100.0,53100.0,37170,Mercedes,C300,1995,Y,Middle Aged,Established Client,12.25,16343.337500000001,-36756.6625
62,28,200152,2003-03-09,IL,100/300,1000.0,988.45,0,430141,FEMALE,988.45,protective-serv,camping,unmarried,0.0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,YES,1,1,YES,60200.0,60200.0,60200.0,48160,Suburu,Forrestor,2004,Y,Young Adult,Established Client,5.166666666666667,5106.991666666667,-55093.00833333333
289,49,933293,1993-02-03,IL,500/1000,2000.0,1222.48,0,620757,FEMALE,1222.48,priv-house-serv,golf,unmarried,0.0,0,2015-01-18,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330.0,5330.0,5330.0,3280,Suburu,Legacy,2001,N,Middle Aged,Long-Term Client,24.083333333333332,29441.393333333333,24111.393333333333
431,54,485664,2002-11-25,IN,500/1000,2000.0,1155.55,0,615901,FEMALE,1155.55,craft-repair,bungie-jumping,unmarried,65700.0,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,YES,2,0,NO,62300.0,62300.0,62300.0,43610,Jeep,Wrangler,2007,N,Middle Aged,Long-Term Client,35.916666666666664,41503.504166666666,-20796.495833333334
199,37,982871,1997-07-27,IN,250/500,500.0,1262.08,0,474615,MALE,1262.08,tech-support,video-games,wife,48500.0,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,YES,0,3,NO,60170.0,60170.0,60170.0,38290,Nissan,Pathfinder,2011,Y,Middle Aged,Long-Term Client,16.583333333333332,20929.493333333332,-39240.50666666667
79,26,206213,1995-05-08,IL,100/300,500.0,1451.62,0,456446,MALE,1451.62,tech-support,kayaking,not-in-family,0.0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,NO,40000.0,40000.0,40000.0,28000,BMW,M5,2010,N,Young Adult,Established Client,6.583333333333333,9556.498333333333,-30443.501666666667
116,34,616337,2012-08-30,IN,250/500,500.0,1737.66,0,470577,MALE,1737.66,transport-moving,chess,unmarried,0.0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,YES,1,1,NO,97080.0,97080.0,97080.0,64720,BMW,X5,2001,Y,Middle Aged,Established Client,9.666666666666666,16797.38,-80282.62
37,38,448961,2006-04-30,IL,500/1000,500.0,1475.93,0,441648,FEMALE,1475.93,prof-specialty,hiking,husband,0.0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660.0,51660.0,51660.0,40180,Dodge,RAM,2010,N,Middle Aged,Established Client,3.0833333333333335,4550.784166666667,-47109.215833333335
106,30,790442,2003-04-13,OH,250/500,500.0,538.17,0,433782,FEMALE,538.17,transport-moving,reading,own-child,49700.0,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120.0,51120.0,51120.0,39760,Mercedes,E400,2005,N,Young Adult,Established Client,8.833333333333334,4753.835,-46366.165
269,44,108844,2007-12-05,IL,100/300,2000.0,1081.08,0,468104,MALE,1081.08,priv-house-serv,reading,unmarried,36400.0,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,NO,56400.0,56400.0,56400.0,33840,Toyota,Highlander,2014,N,Middle Aged,Long-Term Client,22.416666666666668,24234.209999999995,-32165.790000000005
265,40,430029,2006-08-21,IL,250/500,1000.0,1454.43,0,459407,FEMALE,1454.43,protective-serv,yachting,husband,0.0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,NO,55120.0,55120.0,55120.0,48230,Accura,MDX,2002,N,Middle Aged,Long-Term Client,22.083333333333332,32118.6625,-23001.3375
163,33,529112,1990-01-08,IN,100/300,500.0,1240.47,0,472573,FEMALE,1240.47,other-service,polo,husband,35300.0,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,NO,77110.0,77110.0,77110.0,63090,Honda,Civic,2014,N,Middle Aged,Long-Term Client,13.583333333333334,16849.7175,-60260.2825
355,47,939631,1990-03-18,OH,500/1000,2000.0,1273.7,4000000,433473,MALE,1273.7,other-service,kayaking,husband,0.0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800.0,62800.0,62800.0,50240,Audi,A3,2003,Y,Middle Aged,Long-Term Client,29.583333333333332,37680.291666666664,-25119.708333333336
175,34,866931,2008-01-07,IN,500/1000,1000.0,1123.87,8000000,446326,FEMALE,1123.87,protective-serv,dancing,other-relative,0.0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,YES,2,0,YES,7290.0,7290.0,7290.0,5670,Volkswagen,Passat,1995,N,Middle Aged,Long-Term Client,14.583333333333334,16389.770833333332,9099.770833333332
192,35,582011,1997-03-10,IL,100/300,1000.0,1245.89,0,435481,FEMALE,1245.89,exec-managerial,movies,wife,0.0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,NO,76600.0,76600.0,76600.0,53620,Mercedes,C300,2000,N,Middle Aged,Long-Term Client,16.0,19934.24,-56665.759999999995
430,59,691189,2004-01-10,OH,250/500,2000.0,1326.62,7000000,477310,MALE,1326.62,other-service,bungie-jumping,own-child,0.0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,YES,0,3,YES,81800.0,81800.0,81800.0,57260,Nissan,Pathfinder,1998,N,Elderly,Long-Term Client,35.833333333333336,47537.21666666667,-34262.78333333333
91,27,537546,1994-08-20,IL,100/300,2000.0,1073.83,0,609930,FEMALE,1073.83,farming-fishing,polo,husband,0.0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,YES,1,2,NO,7260.0,7260.0,7260.0,5280,BMW,M5,2008,N,Young Adult,Established Client,7.583333333333333,8143.2108333333335,883.2108333333335
217,39,394975,2002-06-02,IN,100/300,1000.0,1530.52,0,603993,MALE,1530.52,armed-forces,basketball,not-in-family,0.0,0,2015-02-22,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,YES,2,1,YES,4300.0,4300.0,4300.0,3440,Toyota,Corolla,2000,N,Middle Aged,Long-Term Client,18.083333333333332,27676.903333333335,23376.903333333335
223,40,729634,1994-04-28,IN,100/300,500.0,1201.41,0,437818,FEMALE,1201.41,priv-house-serv,movies,husband,88400.0,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,NO,70510.0,70510.0,70510.0,44870,Suburu,Forrestor,1999,N,Middle Aged,Long-Term Client,18.583333333333332,22326.202500000003,-48183.7975
195,39,282195,2014-08-17,OH,250/500,1000.0,1393.57,0,478423,MALE,1393.57,machine-op-inspct,movies,not-in-family,47600.0,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640.0,2640.0,2640.0,1680,Ford,F150,2009,N,Middle Aged,Long-Term Client,16.25,22645.5125,20005.5125
22,26,420810,2007-08-11,OH,100/300,1000.0,1276.57,0,467784,MALE,1276.57,craft-repair,skydiving,not-in-family,71500.0,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900.0,78900.0,78900.0,55230,Chevrolet,Silverado,1995,N,Young Adult,New Client,1.8333333333333333,2340.378333333333,-76559.62166666667
439,56,524836,2008-11-20,IN,250/500,500.0,1082.49,0,606714,FEMALE,1082.49,prof-specialty,chess,unmarried,36100.0,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,YES,2,3,NO,56430.0,56430.0,56430.0,50160,Honda,CRV,2014,N,Elderly,Long-Term Client,36.583333333333336,39601.0925,-16828.9075
94,32,307195,1995-10-18,IN,500/1000,1000.0,1414.74,0,464691,FEMALE,1414.74,adm-clerical,hiking,own-child,0.0,0,2015-02-22,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400.0,2400.0,2400.0,1800,Chevrolet,Silverado,2014,N,Middle Aged,Established Client,7.833333333333333,11082.13,8682.13
11,39,623648,1993-05-19,IL,250/500,2000.0,1470.06,0,431683,MALE,1470.06,other-service,yachting,husband,56600.0,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790.0,65790.0,65790.0,51170,Saab,93,2007,N,Middle Aged,New Client,0.9166666666666666,1347.5549999999998,-64442.445
151,36,485372,2005-02-26,OH,250/500,2000.0,870.63,0,431725,FEMALE,870.63,adm-clerical,kayaking,own-child,94800.0,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920.0,62920.0,62920.0,45760,Ford,Escape,2000,N,Middle Aged,Long-Term Client,12.583333333333334,10955.4275,-51964.5725
154,34,598554,1990-02-14,IN,100/300,500.0,795.23,0,609216,MALE,795.23,machine-op-inspct,base-jumping,other-relative,36900.0,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,NO,69480.0,69480.0,69480.0,54040,Nissan,Maxima,2014,Y,Middle Aged,Long-Term Client,12.833333333333334,10205.451666666666,-59274.54833333333
245,44,303987,1993-09-30,IL,500/1000,1000.0,1168.2,0,452787,MALE,1168.2,handlers-cleaners,basketball,husband,69100.0,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280.0,44280.0,44280.0,33210,Honda,Accord,1997,N,Middle Aged,Long-Term Client,20.416666666666668,23850.750000000004,-20429.249999999996
119,32,343161,2014-06-10,IL,500/1000,1000.0,993.51,0,468767,MALE,993.51,armed-forces,bungie-jumping,unmarried,0.0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300.0,56300.0,56300.0,39410,BMW,M5,2011,N,Middle Aged,Established Client,9.916666666666666,9852.3075,-46447.6925
215,42,519312,2008-10-28,OH,500/1000,500.0,1848.81,0,435489,MALE,1848.81,transport-moving,video-games,own-child,0.0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520.0,68520.0,68520.0,51390,Suburu,Legacy,2003,Y,Middle Aged,Long-Term Client,17.916666666666668,33124.5125,-35395.4875
295,42,132902,2007-04-24,OH,250/500,500.0,1641.73,5000000,450149,MALE,1641.73,sales,chess,not-in-family,62400.0,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130.0,59130.0,59130.0,45990,Ford,Escape,2006,Y,Middle Aged,Long-Term Client,24.583333333333332,40359.19583333333,-18770.80416666667
254,39,332867,1993-12-13,IN,100/300,500.0,1362.87,0,458364,FEMALE,1362.87,exec-managerial,chess,other-relative,35700.0,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320.0,82320.0,82320.0,61740,Dodge,Neon,1995,Y,Middle Aged,Long-Term Client,21.166666666666668,28847.414999999997,-53472.58500000001
